Source,Target,Weight,Interval
irina,camilla,0.7053715472060403,8
irene,boy,0.7053715472060403,8
camilla,marco,0.18665785920183992,8
camille,marco,0.18195613674374733,8
elinor,protagonist,0.17248139310334176,8
gurula,protagonist,0.17248139310334176,8
rosaria,protagonist,0.17248139310334176,8
boy,cedric,0.1680934682607857,8
camille,franky,0.1444000375739939,8
irene,cedric,0.11856834978233984,8
rosaria,cedric,0.11856834978233984,8
camilla,protagonist,0.10211722044114734,8
camille,cedric,0.011671408324167151,8
marco,cedric,-0.004861723866982893,8
gurula,elinor,-0.004901960784313726,8
irene,elinor,-0.004901960784313726,8
irina,elinor,-0.004901960784313726,8
rosaria,elinor,-0.004901960784313726,8
irene,gurula,-0.004901960784313726,8
irina,gurula,-0.004901960784313726,8
rosaria,gurula,-0.004901960784313726,8
irina,irene,-0.004901960784313726,8
rosaria,irene,-0.004901960784313726,8
rosaria,irina,-0.004901960784313726,8
elinor,camilla,-0.006949473371488083,8
gurula,camilla,-0.006949473371488083,8
irene,camilla,-0.006949473371488083,8
rosaria,camilla,-0.006949473371488083,8
boy,elinor,-0.006949473371488083,8
boy,gurula,-0.006949473371488083,8
irina,boy,-0.006949473371488083,8
rosaria,boy,-0.006949473371488083,8
boy,camilla,-0.009852216748768475,8
elinor,franky,-0.01107018606925119,8
gurula,franky,-0.01107018606925119,8
irene,franky,-0.01107018606925119,8
irina,franky,-0.01107018606925119,8
rosaria,franky,-0.01107018606925119,8
elinor,camille,-0.013164408224066863,8
gurula,camille,-0.013164408224066863,8
irene,camille,-0.013164408224066863,8
irina,camille,-0.013164408224066863,8
rosaria,camille,-0.013164408224066863,8
camilla,franky,-0.015694120514358614,8
boy,franky,-0.015694120514358614,8
elinor,marco,-0.01745809630188319,8
gurula,marco,-0.01745809630188319,8
irene,marco,-0.01745809630188319,8
irina,marco,-0.01745809630188319,8
rosaria,marco,-0.01745809630188319,8
camille,camilla,-0.01866308369852848,8
boy,camille,-0.01866308369852848,8
franky,cedric,-0.021139344756234513,8
boy,marco,-0.024750213374829605,8
irene,protagonist,-0.02842022954543699,8
irina,protagonist,-0.02842022954543699,8
marco,franky,-0.03942593239325761,8
boy,protagonist,-0.04029114820126901,8
elinor,cedric,-0.041342911437263236,8
gurula,cedric,-0.041342911437263236,8
irina,cedric,-0.041342911437263236,8
marco,protagonist,-0.041592155400557836,8
camilla,cedric,-0.058611538275142386,8
franky,protagonist,-0.06418191475655881,8
camille,protagonist,-0.07632364272579502,8
cedric,protagonist,-0.1757554716430723,8
